Weight,Diameter,Color,Supplier,Country,Season
120,5.58,Dark Red,Tomatooryx,China,Spring
229,5.84,Orange,Tomatosio,Spain,Summer
115,7.20,Dark Red,Tomatosio,Spain,Summer
84,3.93,Dark Red,Obeliskmato,Turkey,Spring
133,4.14,Orange,Obeliskmato,USA,Spring
89,3.12,Red,Obeliskmato,Turkey,Fall
122,8.89,Dark Red,Tomatooryx,Brazil,Winter
114,9.19,Orange,Tomatoaster,USA,Winter
149,5.59,Red,Tomatooryx,India,Summer
160,7.45,Dark Red,Tomatooryx,Brazil,Winter
63,5.05,Dark Red,Tomatosio,USA,Fall
50,5.88,Orange,Tomatosio,Turkey,Winter
220,5.33,Dark Red,Tomatosio,USA,Spring
128,7.44,Dark Red,Tomatoaster,Turkey,Fall
84,9.52,Dark Red,Tomatooryx,Turkey,Summer
82,4.12,Dark Red,Tomatooryx,USA,Summer
146,5.28,Dark Red,Tomatoaster,Turkey,Spring
110,8.56,Orange,Tomatooryx,Brazil,Fall
71,4.92,Red,Obeliskmato,China,Summer
132,7.27,Dark Red,Tomatosio,USA,Spring
169,9.87,Orange,Tomatosio,Spain,Spring
133,5.71,Orange,Obeliskmato,India,Summer
130,4.32,Orange,Tomatoaster,Brazil,Summer
70,5.22,Dark Red,Obeliskmato,China,Spring
88,5.84,Red,Obeliskmato,Turkey,Summer
111,4.37,Dark Red,Obeliskmato,Turkey,Summer
191,8.29,Dark Red,Tomatoaster,Brazil,Winter
115,6.08,Dark Red,Obeliskmato,Spain,Fall
197,7.92,Dark Red,Tomatosio,USA,Fall
128,5.17,Red,Obeliskmato,Turkey,Summer
122,6.78,Red,Obeliskmato,Spain,Spring
147,5.54,Dark Red,Tomatoaster,Brazil,Winter
144,5.35,Red,Tomatooryx,Turkey,Summer
51,4.17,Dark Red,Tomatosio,China,Summer
118,5.23,Orange,Tomatosio,Spain,Winter
139,5.80,Red,Tomatosio,Turkey,Fall
225,5.65,Orange,Tomatooryx,Spain,Spring
181,3.57,Dark Red,Obeliskmato,China,Summer
109,5.70,Red,Tomatosio,Turkey,Spring
112,9.84,Red,Tomatoaster,Brazil,Spring
